Product_ID,Product_Name,Price,Source
PROD_163bd914,Disney Mickey Mouse Tropical Sand Dollar Havana Brown/ Sand Flatweave Indoor/,208.84,scraped
PROD_ef361fba,"Radiant Oriental Multicolor Hand Knotted Wool Blue, Pink, Navy Traditional Area",3399.99,scraped
PROD_f03852cf,Lahjar Speckled Wool Blend Area Rug,519.99,scraped
PROD_a39a8d2b,Rinoa Indoor / Outdoor Rug,202.99,scraped
PROD_fd0cd8cf,Non-Slip Washable Stain Resistant Area Rug For Living Room Bedroom Dining Room,97.99,scraped
PROD_15009179,Maust Sunshine Rainbow Shag Rug,109.99,scraped
PROD_96a0055d,Loloi Botanical Ivory / Multi Area Rug,32.99,scraped
PROD_03533587,Hand Hooked Wool Oriental Indoor Rug,49.99,scraped
PROD_9d77c7b9,Rifle Paper Co. x Loloi Rosa Sky Area Rug,110.66,scraped
PROD_28b95f59,Mendota Geometric Tan Indoor/Outdoor Area Rug,139.99,scraped
PROD_ba5eef5e,Gauna Power Loomed Geometric Indoor and Outdoor Rug,86.99,scraped
PROD_289ed9b0,Ankita Bordered Jute Area Rug,325.99,scraped
PROD_819dccdf,Paint Chip Blue Machine Washable Rug,35.2,scraped
PROD_885c587d,"Paseo Gurseerit All-Weather Flatweave Indoor/Outdoor Area Rug, Brown Black",91.99,scraped
PROD_89c6f605,Washable Oriental  Area Rugs Non slip Green Rugs,19.99,scraped
PROD_07dd57f8,Nola Geometric Indoor / Outdoor Rug,101.99,scraped
PROD_049d2289,Valis Faux Sheepskin Indoor Rug,103.99,scraped
PROD_68bfe17c,Adrihana Machine Woven Abstract Area Rug,225.99,scraped
PROD_af993edd,"Reversible Waterproof Plastic Straw Outdoor Area Rug for Patio, Camping",55.99,scraped
PROD_b7d8e041,Jodhveer Area Rug Washable Rug Non-Slip Backing Indoor Rugs,38.99,scraped
PROD_b59a3efe,Machine Washable Area Rugs for Entryway 2x3 Non-Slip Soft Throw Rugs Blue/Gray,19.99,scraped
PROD_61bd4c69,Area Rug Machine Washable Rugs with Rubber Backing for Living Room,19.99,scraped
PROD_f6c97a80,Livdon Washable Medium Rug,157.99,scraped
PROD_0f472890,Oriental Vintage Machine Washable Non-Slip Dark Green Indoor Area Rug,129.99,scraped
PROD_94b9189a,Enciso Machine Woven Stain Resistant Indoor/Outdoor Area Rug,64.99,scraped
PROD_a6ea231c,Ava-Mary Striped Indoor / Outdoor Rug,147.99,scraped
PROD_9360ae59,Botanical Modern Machine Washable Floral Indoor Oriental Performance Area Rug,116.99,scraped
PROD_81ed29d6,Soft Washable Vintage Distressed Beige Area Rug with Non-Slip Backing,135.99,scraped
PROD_d02253d6,Lanett Oriental Blue/Gray Area Rug,96.99,scraped
PROD_20bbb110,Ainswick Memory Foam Large Rug,569.99,scraped
PROD_cb6ebe0a,Harjot Medium Rug,159.99,scraped
PROD_1ad08862,Scalloped Washable Rug Area Rugs for Living Room Modern Rugs Abstract Non-Slip,75.99,scraped
PROD_7cb7c01e,Achilles Cream/Gray Rug,119.99,scraped
PROD_7ef65a00,Jules Checkered Area Rug,134.99,scraped
PROD_aaf8a92a,Izola Oriental Indoor/Outdoor Area Rug,184.99,scraped
PROD_16a4bedb,Aitken Machine Woven Geometric Indoor and Outdoor Rug,70.99,scraped
PROD_db0bc388,Waikiki Blue Indoor/Outdoor Rug,144.99,scraped
PROD_3a8f5324,"Lisgrove 7'8"" X 10' Area Rug",659.99,scraped
PROD_86d6a4e7,"Eldonmore 7'8"" X 10' Area Rug",699.99,scraped
PROD_03310af2,"Dylanton 7'8"" X 10' Area Rug",469.99,scraped
PROD_ffc555c6,"Azelhurst 7'8"" X 10' Area Rug",669.99,scraped
PROD_a0eaf6eb,Tomas Chevron Rug Dark Blue/Gray Indoor/Outdoor Area Rug,91.99,scraped
PROD_179506f6,Warkentin Geometric Indoor Rug,129.99,scraped
PROD_0a14d1b3,White Shag Novelty Faux Sheepskin Fur Fluffy Rug,72.99,scraped
PROD_3b59c0ac,Seraphine Coastal Flatweave Navy Indoor /  Outdoor Area Rug,72.99,scraped
PROD_7781fd4a,Oriental Indoor Rug,226.99,scraped
PROD_a372467d,Leosvel Faux Sheepskin Indoor Rug,197.99,scraped
PROD_1b747b15,"Bachby 5'3"" X 7' Area Rug",159.99,scraped
PROD_cd80d75a,Corrbell 5' X 7' Area Rug,202.99,scraped
